PLACA,CONFIDENCE
D3Q585,86.556908
D3O585,78.479637
D3QS85,78.04274
D3Q58S,77.986526
D30585,77.923721
DSQ585,77.2873
D3Q585,90.135529
D30585,87.41613
D3O585,84.801155
D3D585,83.878502
D3G585,81.218384
D3Q5B5,81.1203
O3Q585,80.244148
D3Q585,88.836632
D30585,85.733414
D3Q5B5,83.840523
D3O585,83.245903
D305B5,80.737312
D3D585,79.854797
D3Q58S,78.682693
D3Q585,90.365608
Q3Q585,83.639771
03Q585,83.400345
O3Q585,83.291039
B3Q585,81.870277
D3O585,81.660553
D30585,81.621681
D3Q585,89.569305
D3O585,81.159454
D30585,81.009277
03Q585,80.709656
D3Q58S,80.690331
O3Q585,80.301178
DSQ585,80.040207
D3Q585,91.679955
D3O585,83.702942
D30585,83.594894
O3Q585,82.078133
Q3Q585,81.95002
D3QS85,81.849136
03Q585,81.562141
D3Q585,91.270515
D30585,83.314743
D3O585,83.291771
03Q585,81.443161
O3Q585,81.285461
Q3Q585,80.929253
D3QS85,80.761147
D3Q585,83.751198
DJQ585,82.478424
D3Q585,85.412109
D33585,80.865234
D30585,80.324532
D3O585,80.319092
D3Q58S,80.171913
D3D585,79.89949
